,prune_iter,tot_sparsity,tot_sparsity_pruned_layers,size_mb,iou_train_loss,iou_val_loss,test_rmse,exec_time_avg
0,0,0.19934609919259944,0.2,14.194285,0.4113674561182658,0.46327299447286696,0.04361105455436059,0.02598520746597877
1,1,0.358822978546679,0.36,11.374061,0.4245610552675584,0.4598942540940784,0.04410577225491424,0.02613669160084847
2,2,0.4864048891910929,0.48800040849673204,9.118125,0.4382907935217315,0.4793691436449687,0.04655323452433375,0.026093009190681655
3,3,0.5884700105454738,0.5904003267973856,7.313389,0.46903275041019216,0.49043999967120944,0.047219533038087326,0.026101155617298224
4,4,0.6701221076289785,0.6723202614379085,5.869421,0.49548470506481096,0.5099276559693473,0.05073446501518027,0.026111528812310634
5,5,0.7354429709734815,0.7378553921568628,4.714285,0.5360176154211456,0.532693692616054,0.051824217516036275,0.02621609736711551
6,6,0.7877000688102344,0.7902839052287581,3.790125,0.5777127614208296,0.5415943832624526,0.05435267814521828,0.026103035456094985
7,7,0.8295053399184863,0.8322263071895425,3.050861,0.6106008267870137,0.5692543103581383,0.059326016620645544,0.026058449500646348
8,8,0.8629495568050879,0.86578022875817,2.459437,0.6429332459674162,0.5992564842814491,0.0646768421397751,0.02616581855676113
9,9,0.8897061517978201,0.892624591503268,1.986349,0.6785736551471785,0.6339144905408224,0.07197475162038527,0.026106669046939947
