,prune_iter,tot_sparsity,tot_sparsity_pruned_layers,size_mb,iou_train_loss,iou_val_loss,test_rmse,exec_time_avg
0,0,0.19934609919259944,0.2,14.194285,0.40697798074460495,0.440252749692826,0.04205740085083102,0.026296853102170503
1,1,0.3588250143524305,0.36000204248366013,11.374189,0.42751723644780176,0.45719291482652935,0.046258248177838586,0.026263980376414763
2,2,0.48640896080259605,0.4880044934640523,9.117805,0.49249875779245417,0.49038746527263094,0.05408471460275638,0.026304618211892936
3,3,0.5884801895742315,0.5904105392156863,7.312813,0.5826335946718851,0.5264303059805007,0.06511060823114613,0.026270322463451286
4,4,0.6701363582692393,0.6723345588235294,5.868909,0.6664161962621352,0.5967602786563692,0.08006216632167228,0.026283844312032064
5,5,0.735459257419494,0.7378717320261438,4.713645,0.7681382415341396,0.6758975982666016,0.09669041378377902,0.026332338192524053
6,6,0.7877143194504953,0.7902982026143791,3.790061,0.8520630750001645,0.7821884382338751,0.11601383752193026,0.026385445778186505
7,7,0.8295134831414925,0.832234477124183,3.050861,0.9108535881135978,0.8614457817304702,0.12973196854583682,0.026280783078609368
8,8,0.8629597358338457,0.8657904411764706,2.459309,0.9525684854563545,0.9281074546632313,0.13902365258540889,0.02625736196835836
9,9,0.8897142950208263,0.8926327614379085,1.986157,0.9714402275926927,0.9616056510380336,0.1454400902235267,0.026295353510440923
