,prune_iter,tot_sparsity,tot_sparsity_pruned_layers,size_mb,iou_train_loss,iou_val_loss,test_rmse,exec_time_avg
0,0,0.2003904675431489,0.20104779411764706,14.176365,0.7305784751387203,0.6831791088694618,0.08736460343489989,0.026011704328732614
1,1,0.35680753085263617,0.3579779411764706,11.410413,0.9074308778725418,0.8903789520263672,0.1299199134991035,0.027078082622625888
2,2,0.48150877635859496,0.48308823529411765,9.205229,0.9574927360403771,0.9449491387321836,0.13812771600003518,0.02991020434942001
3,3,0.585689099888845,0.5876102941176471,7.362989,0.9699578413776323,0.9632945713542757,0.13559948672191494,0.02575624126654405
4,4,0.668414066603421,0.6706066176470589,5.900077,0.9832113244954277,0.977934255486443,0.13927669432163797,0.026003086414092626
5,5,0.7306181113422882,0.733014705882353,4.800109,0.9793168259601966,0.9766199986139933,0.13569098498012175,0.025812883713306523
6,6,0.7828548511215254,0.785422794117647,3.876397,0.9823658127410739,0.9799787146704537,0.135170114937186,0.025757285417654575
7,7,0.8248311299129082,0.8275367647058823,3.134125,0.9858646942119972,0.9834707975387573,0.13634487464690173,0.025685052688305194
8,8,0.855319356848247,0.858125,2.594989,0.9878060408667022,0.9869619891757057,0.1351225543501371,0.02565996616314619
9,9,0.8858075837835857,0.8887132352941176,2.055853,0.990732304021424,0.9895104396910894,0.13551759969992225,0.025905723449511406
