,prune_iter,tot_sparsity,tot_sparsity_pruned_layers,size_mb,iou_train_loss,iou_val_loss,test_rmse,exec_time_avg
0,0,0.19934609919259944,0.2,14.194285,0.6333905470137503,0.5747948998496646,0.08174107953428403,0.026280166094119733
1,1,0.3588250143524305,0.36000204248366013,11.374189,0.855061507692524,0.7929363988694691,0.11973418230321774,0.02646862390713814
2,2,0.48640896080259605,0.4880044934640523,9.117805,0.9443089506205391,0.9184423770223346,0.13643892669034768,0.02628843264702039
3,3,0.5884801895742315,0.5904105392156863,7.312813,0.9726481332498438,0.9647531055268788,0.14214464379431394,0.02624101868042579
4,4,0.6701363582692393,0.6723345588235294,5.868909,0.985961333209393,0.9828097933814639,0.13741656952750467,0.026372864918831066
5,5,0.735459257419494,0.7378717320261438,4.713645,0.9891793552566978,0.9875761611121041,0.13655735129990937,0.026493455813481257
6,6,0.7877143194504953,0.7902982026143791,3.790061,0.9906220926957972,0.9899441401163737,0.13512479171143216,0.02641387306726896
7,7,0.8295134831414925,0.832234477124183,3.050861,0.9917196093821058,0.9914353433109465,0.1344670244939986,0.02639509332485688
8,8,0.8629597358338457,0.8657904411764706,2.459309,0.9921430407785902,0.9919587827864147,0.13404348015229742,0.026284435315009874
9,9,0.8897142950208263,0.8926327614379085,1.986157,0.9924805000716564,0.9924114289737883,0.13385975931873806,0.026342779397964478
